Date,Military Time,Isolate ID,PCR Date,Pyro Machine,Well,DispSeq,Tech,Region,Pyromark File Name (Machine #-date-military time),Fwd Primer,Rev Primer,Seq Primer
3/17/2011,,ES-023,9/16/2010,EBI 1,A3,ModGATC-2c,VanderKelen,23-5,031711 DRB test-GATC,23-5ITS-F,23-5ITS-R-biotin,23-5ITS-S
3/17/2011,,ES-024,9/16/2010,EBI 1,A4,ModGATC-2c,VanderKelen,23-5,031711 DRB test-GATC,23-5ITS-F,23-5ITS-R-biotin,23-5ITS-S
3/17/2011,,ES-049,9/16/2010,EBI 1,A5,ModGATC-2c,VanderKelen,23-5,031711 DRB test-GATC,23-5ITS-F,23-5ITS-R-biotin,23-5ITS-S
3/17/2011,,ES-050,9/16/2010,EBI 1,A6,ModGATC-2c,VanderKelen,23-5,031711 DRB test-GATC,23-5ITS-F,23-5ITS-R-biotin,23-5ITS-S
3/17/2011,,ES-067,10/9/2010,EBI 1,B1,ModGATC-2c,VanderKelen,23-5,031711 DRB test-GATC,23-5ITS-F,23-5ITS-R-biotin,23-5ITS-S
3/17/2011,,ES-068,10/9/2010,EBI 1,B2,ModGATC-2c,VanderKelen,23-5,031711 DRB test-GATC,23-5ITS-F,23-5ITS-R-biotin,23-5ITS-S
3/17/2011,,ES-069,10/9/2010,EBI 1,B3,ModGATC-2c,VanderKelen,23-5,031711 DRB test-GATC,23-5ITS-F,23-5ITS-R-biotin,23-5ITS-S
3/17/2011,,ES-070,10/9/2010,EBI 1,B4,ModGATC-2c,VanderKelen,23-5,031711 DRB test-GATC,23-5ITS-F,23-5ITS-R-biotin,23-5ITS-S
3/17/2011,,ES-071,10/9/2010,EBI 1,B5,ModGATC-2c,VanderKelen,23-5,031711 DRB test-GATC,23-5ITS-F,23-5ITS-R-biotin,23-5ITS-S
3/17/2011,,ES-072,10/9/2010,EBI 1,B6,ModGATC-2c,VanderKelen,23-5,031711 DRB test-GATC,23-5ITS-F,23-5ITS-R-biotin,23-5ITS-S
3/17/2011,,ES-073,10/9/2010,EBI 1,B7,ModGATC-2c,VanderKelen,23-5,031711 DRB test-GATC,23-5ITS-F,23-5ITS-R-biotin,23-5ITS-S
3/17/2011,,ES-074,10/9/2010,EBI 1,B8,ModGATC-2c,VanderKelen,23-5,031711 DRB test-GATC,23-5ITS-F,23-5ITS-R-biotin,23-5ITS-S
3/17/2011,,ES-075,10/9/2010,EBI 1,A7,ModGATC-2c,VanderKelen,23-5,031711 DRB test-GATC,23-5ITS-F,23-5ITS-R-biotin,23-5ITS-S
3/17/2011,,ES-076,10/9/2010,EBI 1,A8,ModGATC-2c,VanderKelen,23-5,031711 DRB test-GATC,23-5ITS-F,23-5ITS-R-biotin,23-5ITS-S
3/17/2011,,ES-090,12/10/2010,EBI 2,C1,ModGATC-2c,VanderKelen,23-5,031711 DRB test-GATC,23-5ITS-F,23-5ITS-R-biotin,23-5ITS-S
3/17/2011,,ES-091,12/10/2010,EBI 3,C2,ModGATC-2c,VanderKelen,23-5,031711 DRB test-GATC,23-5ITS-F,23-5ITS-R-biotin,23-5ITS-S
3/17/2011,,ES-092,12/10/2010,EBI 4,C3,ModGATC-2c,VanderKelen,23-5,031711 DRB test-GATC,23-5ITS-F,23-5ITS-R-biotin,23-5ITS-S
3/17/2011,,ES-093,12/10/2010,EBI 5,C4,ModGATC-2c,VanderKelen,23-5,031711 DRB test-GATC,23-5ITS-F,23-5ITS-R-biotin,23-5ITS-S
3/17/2011,,ES-094,12/10/2010,EBI 6,C5,ModGATC-2c,VanderKelen,23-5,031711 DRB test-GATC,23-5ITS-F,23-5ITS-R-biotin,23-5ITS-S
3/17/2011,,ES-095,12/10/2010,EBI 7,C6,ModGATC-2c,VanderKelen,23-5,031711 DRB test-GATC,23-5ITS-F,23-5ITS-R-biotin,23-5ITS-S
3/17/2011,,ES-096,12/10/2010,EBI 8,C7,ModGATC-2c,VanderKelen,23-5,031711 DRB test-GATC,23-5ITS-F,23-5ITS-R-biotin,23-5ITS-S
3/17/2011,,ES-097,12/10/2010,EBI 9,C8,ModGATC-2c,VanderKelen,23-5,031711 DRB test-GATC,23-5ITS-F,23-5ITS-R-biotin,23-5ITS-S
4/7/2011,,Pg-003a,4/6/2011,1,A1,ModTCGA-2c,VanderKelen,16-23,040711 16-23 repro test with F as S,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/7/2011,,Pg-003b,4/6/2011,1,A2,ModTCGA-2c,VanderKelen,16-23,040711 16-23 repro test with F as S,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/7/2011,,Pg-003c,4/6/2011,1,A3,ModTCGA-2c,VanderKelen,16-23,040711 16-23 repro test with F as S,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/7/2011,,Pg-003d,4/6/2011,1,A4,ModTCGA-2c,VanderKelen,16-23,040711 16-23 repro test with F as S,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/7/2011,,Hu-012a,4/6/2011,1,A5,ModTCGA-2c,VanderKelen,16-23,040711 16-23 repro test with F as S,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/7/2011,,Hu-012b,4/6/2011,1,A6,ModTCGA-2c,VanderKelen,16-23,040711 16-23 repro test with F as S,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/7/2011,,Hu-012c,4/6/2011,1,A7,ModTCGA-2c,VanderKelen,16-23,040711 16-23 repro test with F as S,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/7/2011,,Hu-012d,4/6/2011,1,A8,ModTCGA-2c,VanderKelen,16-23,040711 16-23 repro test with F as S,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/12/2011,,Hu-002,4/11/2011,1,A1,ModTCGA-1c,VanderKelen,16-23,041211 16-23 F as S hu ck pg sg cw,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/12/2011,,Hu-005,4/11/2011,1,A2,ModTCGA-1c,VanderKelen,16-23,041211 16-23 F as S hu ck pg sg cw,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/12/2011,,Hu-009,4/11/2011,1,A3,ModTCGA-1c,VanderKelen,16-23,041211 16-23 F as S hu ck pg sg cw,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/12/2011,,Hu-0012,4/11/2011,1,A4,ModTCGA-1c,VanderKelen,16-23,041211 16-23 F as S hu ck pg sg cw,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/12/2011,,Ck-001a,4/11/2011,1,A5,ModTCGA-1c,VanderKelen,16-23,041211 16-23 F as S hu ck pg sg cw,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/12/2011,,Ck-001b,4/11/2011,1,A6,ModTCGA-1c,VanderKelen,16-23,041211 16-23 F as S hu ck pg sg cw,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/12/2011,,Pg-003,4/11/2011,1,A7,ModTCGA-1c,VanderKelen,16-23,041211 16-23 F as S hu ck pg sg cw,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/12/2011,,Pg-004,4/11/2011,1,A8,ModTCGA-1c,VanderKelen,16-23,041211 16-23 F as S hu ck pg sg cw,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/12/2011,,Pg-007,4/11/2011,1,B1,ModTCGA-1c,VanderKelen,16-23,041211 16-23 F as S hu ck pg sg cw,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/12/2011,,Pg-008,4/11/2011,1,B2,ModTCGA-1c,VanderKelen,16-23,041211 16-23 F as S hu ck pg sg cw,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/12/2011,,Pg-009,4/11/2011,1,B3,ModTCGA-1c,VanderKelen,16-23,041211 16-23 F as S hu ck pg sg cw,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/12/2011,,Pg-010,4/11/2011,1,B4,ModTCGA-1c,VanderKelen,16-23,041211 16-23 F as S hu ck pg sg cw,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/12/2011,,Sg-005a,4/11/2011,1,B5,ModTCGA-1c,VanderKelen,16-23,041211 16-23 F as S hu ck pg sg cw,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/12/2011,,Sg-005b,4/11/2011,1,B6,ModTCGA-1c,VanderKelen,16-23,041211 16-23 F as S hu ck pg sg cw,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/12/2011,,Sg-006,4/11/2011,1,B7,ModTCGA-1c,VanderKelen,16-23,041211 16-23 F as S hu ck pg sg cw,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/12/2011,,Sg-007,4/11/2011,1,B8,ModTCGA-1c,VanderKelen,16-23,041211 16-23 F as S hu ck pg sg cw,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/12/2011,,Sg-008,4/11/2011,1,C1,ModTCGA-1c,VanderKelen,16-23,041211 16-23 F as S hu ck pg sg cw,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/12/2011,,Cw-002,4/11/2011,1,C2,ModTCGA-1c,VanderKelen,16-23,041211 16-23 F as S hu ck pg sg cw,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/12/2011,,Cw-0017,4/11/2011,1,C3,ModTCGA-1c,VanderKelen,16-23,041211 16-23 F as S hu ck pg sg cw,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/12/2011,,Cw-023,4/11/2011,1,C4,ModTCGA-1c,VanderKelen,16-23,041211 16-23 F as S hu ck pg sg cw,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/12/2011,,Cw-026,4/11/2011,1,C5,ModTCGA-1c,VanderKelen,16-23,041211 16-23 F as S hu ck pg sg cw,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/12/2011,,Cw-027,4/11/2011,1,C6,ModTCGA-1c,VanderKelen,16-23,041211 16-23 F as S hu ck pg sg cw,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/12/2011,,Cw-030a,4/11/2011,1,C7,ModTCGA-1c,VanderKelen,16-23,041211 16-23 F as S hu ck pg sg cw,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/12/2011,,Cw-030b,4/11/2011,1,C8,ModTCGA-1c,VanderKelen,16-23,041211 16-23 F as S hu ck pg sg cw,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/15/2011,,Cw-001,4/14/2011,1,A1,ModTCGA-1c,VanderKelen,16-23,041511 16-23 F as S cw pg,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/15/2011,,Cw-003,4/14/2011,1,A2,ModTCGA-1c,VanderKelen,16-23,041511 16-23 F as S cw pg,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/15/2011,,Cw-004,4/14/2011,1,A3,ModTCGA-1c,VanderKelen,16-23,041511 16-23 F as S cw pg,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/15/2011,,Cw-005,4/14/2011,1,A4,ModTCGA-1c,VanderKelen,16-23,041511 16-23 F as S cw pg,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/15/2011,,Cw-006,4/14/2011,1,A5,ModTCGA-1c,VanderKelen,16-23,041511 16-23 F as S cw pg,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/15/2011,,Cw-007,4/14/2011,1,A6,ModTCGA-1c,VanderKelen,16-23,041511 16-23 F as S cw pg,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/15/2011,,Cw-008,4/14/2011,1,A7,ModTCGA-1c,VanderKelen,16-23,041511 16-23 F as S cw pg,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/15/2011,,Cw-009,4/14/2011,1,A8,ModTCGA-1c,VanderKelen,16-23,041511 16-23 F as S cw pg,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/15/2011,,Cw-010,4/14/2011,1,B1,ModTCGA-1c,VanderKelen,16-23,041511 16-23 F as S cw pg,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/15/2011,,Cw-011,4/14/2011,1,B2,ModTCGA-1c,VanderKelen,16-23,041511 16-23 F as S cw pg,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/15/2011,,Cw-012,4/14/2011,1,B3,ModTCGA-1c,VanderKelen,16-23,041511 16-23 F as S cw pg,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/15/2011,,Pg-001,4/14/2011,1,B4,ModTCGA-1c,VanderKelen,16-23,041511 16-23 F as S cw pg,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/15/2011,,Pg-002,4/14/2011,1,B5,ModTCGA-1c,VanderKelen,16-23,041511 16-23 F as S cw pg,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/15/2011,,Pg-005,4/14/2011,1,B6,ModTCGA-1c,VanderKelen,16-23,041511 16-23 F as S cw pg,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/15/2011,,Pg-006,4/14/2011,1,B7,ModTCGA-1c,VanderKelen,16-23,041511 16-23 F as S cw pg,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/15/2011,,Pg-007,4/14/2011,1,B8,ModTCGA-1c,VanderKelen,16-23,041511 16-23 F as S cw pg,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/15/2011,,Pg-010,4/14/2011,1,C1,ModTCGA-1c,VanderKelen,16-23,041511 16-23 F as S cw pg,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/15/2011,,Pg-012,4/14/2011,1,C2,ModTCGA-1c,VanderKelen,16-23,041511 16-23 F as S cw pg,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,Ct-001,4/18/2011,1,A1,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S ct dg,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,Ct-002,4/18/2011,1,A2,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S ct dg,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,Ct-003,4/18/2011,1,A3,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S ct dg,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,Ct-004,4/18/2011,1,A4,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S ct dg,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,Ct-005,4/18/2011,1,A5,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S ct dg,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,Ct-006,4/18/2011,1,A6,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S ct dg,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,Ct-007,4/18/2011,1,A7,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S ct dg,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,Ct-008,4/18/2011,1,A8,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S ct dg,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,Ct-009,4/18/2011,1,B1,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S ct dg,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,Ct-010,4/18/2011,1,B2,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S ct dg,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,Ct-011,4/18/2011,1,B3,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S ct dg,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,Ct-012,4/18/2011,1,B4,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S ct dg,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,Ct-013,4/18/2011,1,B5,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S ct dg,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,Ct-014,4/18/2011,1,B6,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S ct dg,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,Ct-015,4/18/2011,1,B7,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S ct dg,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,Ct-016,4/18/2011,1,B8,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S ct dg,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,Dg-001,4/18/2011,1,C1,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S ct dg,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,Dg-002,4/18/2011,1,C2,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S ct dg,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,Dg-003,4/18/2011,1,C3,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S ct dg,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,Dg-004,4/18/2011,1,C4,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S ct dg,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,Dg-005,4/18/2011,1,C5,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S ct dg,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,Dg-006,4/18/2011,1,C6,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S ct dg,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,Dg-007,4/18/2011,1,C7,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S ct dg,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,Dg-008,4/18/2011,1,C8,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S ct dg,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,Dg-009,4/18/2011,1,A1,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S dg es,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,Dg-010,4/18/2011,1,A2,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S dg es,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,Dg-011,4/18/2011,1,A3,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S dg es,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,Dg-012,4/18/2011,1,A4,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S dg es,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,Dg-013,4/18/2011,1,A5,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S dg es,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,Dg-014,4/18/2011,1,A6,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S dg es,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,Dg-015,4/18/2011,1,A7,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S dg es,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,Dg-016,4/18/2011,1,A8,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S dg es,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,ES-001,4/18/2011,1,B1,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S dg es,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,ES-002,4/18/2011,1,B2,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S dg es,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,ES-003,4/18/2011,1,B3,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S dg es,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,ES-004,4/18/2011,1,B4,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S dg es,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,ES-005,4/18/2011,1,B5,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S dg es,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,ES-006,4/18/2011,1,B6,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S dg es,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,ES-007,4/18/2011,1,B7,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S dg es,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,ES-008,4/18/2011,1,B8,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S dg es,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,ES-009,4/18/2011,1,C1,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S dg es,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,ES-010,4/18/2011,1,C2,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S dg es,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,ES-011,4/18/2011,1,C3,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S dg es,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,ES-012,4/18/2011,1,C4,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S dg es,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,ES-013,4/18/2011,1,C5,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S dg es,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,ES-014,4/18/2011,1,C6,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S dg es,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,ES-015,4/18/2011,1,C7,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S dg es,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,ES-016,4/18/2011,1,C8,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S dg es,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
1/20/2011,,Ct-012,12/15/2010,EBI 1,A1,ModGATC-2c,VanderKelen,23-5,012011-ModGATC-2controls,23-5ITS-F,23-5ITS-R-biotin,23-5ITS-S
1/20/2011,,Ct-013,12/15/2010,EBI 1,A2,ModGATC-2c,VanderKelen,23-5,012011-ModGATC-2controls,23-5ITS-F,23-5ITS-R-biotin,23-5ITS-S
1/20/2011,,Ct-014,12/15/2010,EBI 1,A3,ModGATC-2c,VanderKelen,23-5,012011-ModGATC-2controls,23-5ITS-F,23-5ITS-R-biotin,23-5ITS-S
1/20/2011,,Ct-015,12/15/2010,EBI 1,A4,ModGATC-2c,VanderKelen,23-5,012011-ModGATC-2controls,23-5ITS-F,23-5ITS-R-biotin,23-5ITS-S
1/20/2011,,Ct-016,12/15/2010,EBI 1,A5,ModGATC-2c,VanderKelen,23-5,012011-ModGATC-2controls,23-5ITS-F,23-5ITS-R-biotin,23-5ITS-S
1/20/2011,,Ct-017,12/15/2010,EBI 1,A6,ModGATC-2c,VanderKelen,23-5,012011-ModGATC-2controls,23-5ITS-F,23-5ITS-R-biotin,23-5ITS-S
1/20/2011,,Ct-018,12/15/2010,EBI 1,A7,ModGATC-2c,VanderKelen,23-5,012011-ModGATC-2controls,23-5ITS-F,23-5ITS-R-biotin,23-5ITS-S
1/20/2011,,Ct-019,12/15/2010,EBI 1,A8,ModGATC-2c,VanderKelen,23-5,012011-ModGATC-2controls,23-5ITS-F,23-5ITS-R-biotin,23-5ITS-S
